slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1,F_sc_inv
-0.2,0.1595959595959595,-2.004327752012994e-06,0.0910445444833835,-4.076195229733112,5.491817250988593,-1.415622021206184,-489116.69036105013,-9803.707760303289,0.6350959595959595,-498920.3981213533
-0.2,0.0222222222222222,-8.78867801199388e-08,0.1153172885884503,-2.920305083622816,4.335863304661164,-1.4155582213213356,-11285491.21141206,-92784.32257955104,0.4977222222222222,-11378275.53399161
-0.2,0.1797979797979798,-2.5793888290348692e-06,0.0909921001504314,-4.079348479325742,5.494982522333853,-1.4156340430724643,-378107.5875986956,-9581.150424633115,0.6552979797979798,-387688.7380233287
-0.2,0.0505050505050505,-2.1387562595515865e-07,0.0981626308032596,-3.677971448641866,5.093588017154833,-1.415616568678467,-4637256.960911884,-38357.64236067769,0.5260050505050504,-4675614.603272562
-0.2,0.1191919191919191,-1.1397798467407223e-06,0.0914083541842909,-4.05432877185709,5.469959550852344,-1.4156307790377889,-865994.6007726706,-11367.815188243105,0.5946919191919191,-877362.4159609136
-0.2,0.1353535353535353,-1.4537231658362136e-06,0.0911934091853717,-4.0672249478380875,5.482852373499963,-1.415627425671328,-677443.3281215234,-10445.551619055028,0.6108535353535354,-687888.8797405784
-0.2,0.1919191919191919,-2.997760396911644e-06,0.0909759457799018,-4.080326152321675,5.495958252589702,-1.4156321003514565,-324071.40040516923,-9510.963625732324,0.6674191919191919,-333582.3640309016
-0.2,0.002020202020202,-5.11602453887748e-08,0.1509468449812238,-1.8969560123714304,3.312424317751951,-1.415468305330969,-19380468.51634452,-165958.44859361902,0.4775202020202019,-19546426.96493814
-0.2,0.1878787878787878,-2.8511118788124327e-06,0.0909806999678246,-4.080041329543331,5.495671061770928,-1.4156297323850644,-341209.5714243683,-9530.786199383696,0.6633787878787878,-350740.357623752
-0.2,0.006060606060606,-5.6430417539725655e-08,0.1410204023710279,-2.1300940367104206,3.5455862526578485,-1.4154922160751393,-17571604.870909344,-149334.36006523066,0.481560606060606,-17720939.230974574
-0.2,0.1393939393939394,-1.5377748282964248e-06,0.0911574693127158,-4.069381502895499,5.485014050542816,-1.4156325478190626,-639997.6829219302,-10292.58168580719,0.6148939393939394,-650290.2646077374
-0.2,0.0383838383838383,-1.4506530462840432e-07,0.1030015000958977,-3.438706036320625,4.854298233912321,-1.4155921974783778,-6837895.908223843,-55551.16764019666,0.5138838383838383,-6893447.07586404
-0.2,0.1313131313131313,-1.372095332938099e-06,0.0912349324766313,-4.064726440158628,5.480356990733636,-1.415630550631612,-718187.6106920458,-10624.72179995185,0.6068131313131313,-728812.3324919976
-0.2,0.1151515151515151,-1.066057794305774e-06,0.0914877137756295,-4.049592022299166,5.465214719788843,-1.4156226973497863,-926330.7630567936,-11704.684309555492,0.590651515151515,-938035.4473663489
-0.2,0.1838383838383838,-2.711820768746258e-06,0.0909860500802255,-4.079717679098852,5.495347908392539,-1.4156302292658554,-359201.9441660886,-9553.989679172424,0.6593383838383837,-368755.933845261
-0.1959595959595959,-0.0787878787878788,-1.8429778070793633e-08,0.3533446129440784,1.2999501201321744,0.1150990461506431,-1.4150491665259624,-53849615.2291117,-410397.89523176994,0.3967121212121212,-54260013.12434347
-0.1959595959595959,-0.0505050505050505,-2.271828574496e-08,0.3533084767586288,0.7112698660718957,0.7039240306109562,-1.4151938969368696,-43649448.64078852,-367957.0396487877,0.4249949494949494,-44017405.6804373
-0.1959595959595959,-0.107070707070707,-1.5995565076007876e-08,0.2836774809016539,1.762565002969612,-0.3480475919477364,-1.4145174112486416,-62075954.52168689,-441374.2033810085,0.3684292929292929,-62517328.72506789
