slopeH,NADPH_flux,NAD_flux,Fd_flux,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,FeS_H1_pot,S_FAD_mid_pot
-0.0988498849884988,-5.049912786603272e-05,3.80192428792725e-05,1.2494055097844736e-05,-0.0001010124258431,1.5028934006972102e-07,6.696142282495217e-08,8.332791724476886e-08,-0.0588498849884988,-0.1576997699769977
-0.0988298829882988,-5.044188256420057e-05,3.7988037774994154e-05,1.2438833047356823e-05,-0.0001008687533865,1.503517116767016e-07,6.694024015060042e-08,8.341147152610118e-08,-0.0588298829882988,-0.1576597659765976
-0.0988098809880988,-5.015869125202243e-05,3.784350549551618e-05,1.2354366464517597e-05,-0.000100356563212,1.4996545603941458e-07,6.671943998644752e-08,8.324601605296704e-08,-0.0588098809880988,-0.1576197619761976
-0.0987898789878988,-5.021078406741708e-05,3.7877627875104736e-05,1.2317250460913698e-05,-0.0001004056624034,1.5028648287247046e-07,6.681333699538602e-08,8.347314587708442e-08,-0.0587898789878988,-0.1575797579757976
-0.0987698769876987,-4.9952512185313935e-05,3.7749740755543826e-05,1.2236872207749272e-05,-9.993912514860705e-05,1.4996485437520437e-07,6.66215527427698e-08,8.334330163243458e-08,-0.0587698769876987,-0.1575397539753975
-0.0987498749874987,-4.986133754414368e-05,3.768573930074126e-05,1.2168843258608676e-05,-9.971592010349362e-05,1.4989641797169736e-07,6.65423808346551e-08,8.335403713704226e-08,-0.0587498749874987,-0.1574997499749975
-0.0987298729872987,-4.9823402292759056e-05,3.768523517067024e-05,1.2125330839385384e-05,-9.963396830281468e-05,1.500804246385186e-07,6.657526518946504e-08,8.350515944905356e-08,-0.0587298729872987,-0.1574597459745974
-0.0987098709870987,-4.9404074957237754e-05,3.744916693904088e-05,1.2010504244042153e-05,-9.88637461403208e-05,1.4932580104418824e-07,6.619197883162088e-08,8.313382221256735e-08,-0.0587098709870987,-0.1574197419741974
-0.0986898689868987,-4.925842031866523e-05,3.737198227327099e-05,1.194284468986062e-05,-9.857324728179684e-05,1.4920312428248534e-07,6.608911339312713e-08,8.311401088935824e-08,-0.0586898689868987,-0.1573797379737974
-0.0986698669866986,-4.93935714160898e-05,3.7459153460872585e-05,1.192286581419566e-05,-9.877559069115804e-05,1.4973694809591858e-07,6.627692537013566e-08,8.34600227257829e-08,-0.0586698669866986,-0.1573397339733973
-0.0986498649864986,-4.914177758053029e-05,3.7313591988663575e-05,1.1833186743137604e-05,-9.828855631233148e-05,1.4934082676201788e-07,6.605310156366313e-08,8.328772519835474e-08,-0.0586498649864986,-0.1572997299729973
-0.0986298629862986,-4.89192028112484e-05,3.7193636629240245e-05,1.1757961973613009e-05,-9.787080141410164e-05,1.49045926577572e-07,6.587428770531595e-08,8.317163887225605e-08,-0.0586298629862986,-0.1572597259725972
-0.0986098609860986,-4.886692184413732e-05,3.716074719761764e-05,1.169958581259678e-05,-9.772725485435174e-05,1.490996248773341e-07,6.584962993119725e-08,8.324999494613686e-08,-0.0586098609860986,-0.1572197219721972
-0.0985898589858986,-4.8753359536135576e-05,3.7119649860528625e-05,1.1642698706459951e-05,-9.751570810312415e-05,1.491203106128292e-07,6.581039035274085e-08,8.330992026008836e-08,-0.0585898589858986,-0.1571797179717972
-0.0985698569856985,-4.849221872404996e-05,3.697495023402553e-05,1.156043256234085e-05,-9.702760152041634e-05,1.4872401296566798e-07,6.558728209356778e-08,8.313673087210018e-08,-0.0585698569856985,-0.1571397139713971
-0.0985498549854985,-4.839721759708482e-05,3.693418332773035e-05,1.150451195841562e-05,-9.68359128832308e-05,1.4874544143658866e-07,6.55485025583459e-08,8.319693887824275e-08,-0.0585498549854985,-0.1570997099709971
-0.0985298529852985,-4.822729452769181e-05,3.6836932878259177e-05,1.143095662436977e-05,-9.649518403032076e-05,1.485391722714703e-07,6.540947743879154e-08,8.312969483267875e-08,-0.0585298529852985,-0.157059705970597
-0.0985098509850985,-4.822786506508692e-05,3.684858019425974e-05,1.1385800713359371e-05,-9.646224597270604e-05,1.487713603316663e-07,6.546352897950913e-08,8.330783135215718e-08,-0.0585098509850985,-0.157019701970197
-0.0984898489848985,-4.8093649695601925e-05,3.676524835327655e-05,1.131696356004852e-05,-9.6175861608927e-05,1.486202959185939e-07,6.534892818293253e-08,8.327136773566136e-08,-0.0584898489848985,-0.156979697969797
-0.0984698469846984,-4.7851386611341695e-05,3.664282830584398e-05,1.1241328400579675e-05,-9.573554331776536e-05,1.4831066815724065e-07,6.516477916778789e-08,8.314588898945276e-08,-0.0584698469846984,-0.1569396939693969
-0.0984498449844984,-4.782418848492398e-05,3.662287544159426e-05,1.1187163390991016e-05,-9.563422731750926e-05,1.48415358971922e-07,6.516275431545862e-08,8.325260465646339e-08,-0.0584498449844984,-0.1568996899689969
-0.0984298429842984,-4.776117474136754e-05,3.660901226965052e-05,1.113705726329961e-05,-9.550724427431768e-05,1.485444646968269e-07,6.517138728478564e-08,8.337307741204127e-08,-0.0584298429842984,-0.1568596859685968
-0.0984098409840984,-4.757684217793212e-05,3.651707875462762e-05,1.1069228630367078e-05,-9.516314956292682e-05,1.483571257271417e-07,6.504122332231501e-08,8.331590240482668e-08,-0.0584098409840984,-0.1568196819681968
-0.0983898389838984,-4.749156306615987e-05,3.6466436014848114e-05,1.100994893366014e-05,-9.496794801466812e-05,1.4833685149107778e-07,6.498439119767164e-08,8.335246029340613e-08,-0.0583898389838984,-0.1567796779677968
-0.0983698369836983,-4.7248192657889376e-05,3.6337646619699626e-05,1.0929199578901816e-05,-9.451503885649082e-05,1.4799841385669525e-07,6.478831138022998e-08,8.321010247646527e-08,-0.0583698369836983,-0.1567396739673967
-0.0983498349834983,-4.714026188423759e-05,3.626291122316161e-05,1.0862597057403889e-05,-9.426577016480309e-05,1.4787908539256485e-07,6.468830457858786e-08,8.319078081397697e-08,-0.0583498349834983,-0.1566996699669967
-0.0983298329832983,-4.69265230833571e-05,3.6166011014415744e-05,1.0795755179371367e-05,-9.38882892771442e-05,1.476689705623972e-07,6.454871586740912e-08,8.31202546949881e-08,-0.0583298329832983,-0.1566596659665966
-0.0983098309830983,-4.690283148534036e-05,3.6148479281905566e-05,1.0742382715589471e-05,-9.37936934828354e-05,1.477824414804526e-07,6.455061375063647e-08,8.323182772981614e-08,-0.0583098309830983,-0.1566196619661966
-0.0982898289828983,-4.678836447169488e-05,3.609994463715793e-05,1.068584152852381e-05,-9.357415063737662e-05,1.4776942034753766e-07,6.449724722400184e-08,8.327217312353582e-08,-0.0582898289828983,-0.1565796579657966
-0.0982698269826982,-4.655962943900249e-05,3.598276060756689e-05,1.0612054719194576e-05,-9.315444476576396e-05,1.4747491496964588e-07,6.432114911892047e-08,8.315376585072537e-08,-0.0582698269826982,-0.1565396539653965
-0.0982498249824982,-4.644154851973781e-05,3.5923657492276106e-05,1.0548944544108709e-05,-9.291415055612262e-05,1.474176403369975e-07,6.424864628524775e-08,8.316899405174978e-08,-0.0582498249824982,-0.1564996499649965
-0.0982298229822982,-4.624436139977206e-05,3.5811774480976055e-05,1.0476833836037258e-05,-9.253296971678536e-05,1.4714349393695428e-07,6.408173759312172e-08,8.306175634383257e-08,-0.0582298229822982,-0.1564596459645964
-0.0982098209820982,-4.627447042082622e-05,3.582840169258361e-05,1.0432552312700238e-05,-9.253542442611008e-05,1.4739681307888846e-07,6.414456600834773e-08,8.32522470705407e-08,-0.0582098209820982,-0.1564196419641964
-0.0981898189818982,-4.612128141445737e-05,3.5743167416057986e-05,1.0364575823595956e-05,-9.222902465411131e-05,1.472313496886802e-07,6.402515278244523e-08,8.320619690623497e-08,-0.0581898189818982,-0.1563796379637964
-0.0981698169816981,-4.585277925173159e-05,3.5601542165863975e-05,1.0285410385613147e-05,-9.173973180320873e-05,1.46832877232438e-07,6.380459667820996e-08,8.302828055422803e-08,-0.0581698169816981,-0.1563396339633963
-0.0981498149814981,-4.58039804271948e-05,3.556323427744701e-05,1.0231687746165008e-05,-9.159890245080682e-05,1.4685959267425105e-07,6.376894972751065e-08,8.309064294674042e-08,-0.0581498149814981,-0.1562996299629963
-0.0981298129812981,-4.573785477646197e-05,3.5549713189197973e-05,1.0179915404640028e-05,-9.146748337029996e-05,1.469887572994871e-07,6.377775146609699e-08,8.321100583339011e-08,-0.0581298129812981,-0.1562596259625962
-0.0981098109810981,-4.554752725027811e-05,3.5448637959234475e-05,1.0107548203297512e-05,-9.11037134128101e-05,1.4675587129846074e-07,6.362950978215234e-08,8.312636151630843e-08,-0.0581098109810981,-0.1562196219621962
-0.0980898089808981,-4.53877228494548e-05,3.535617483407805e-05,1.003789537024069e-05,-9.078179305377354e-05,1.4655786076970384e-07,6.349655281491852e-08,8.306130795478531e-08,-0.0580898089808981,-0.1561796179617962
-0.098069806980698,-4.531915324434976e-05,3.5320223446433374e-05,9.990184120622914e-06,-9.062956081140604e-05,1.465936174822059e-07,6.346493785735599e-08,8.312867962484992e-08,-0.058069806980698,-0.1561396139613961
-0.098049804980498,-4.501727669037337e-05,3.516870224018476e-05,9.903460819860044e-06,-9.008943975041817e-05,1.461493079934113e-07,6.322563924752133e-08,8.292366874588998e-08,-0.058049804980498,-0.1560996099609961
-0.098029802980298,-4.502542316231484e-05,3.5175452083535674e-05,9.85791196472796e-06,-9.005878721057847e-05,1.463619083654189e-07,6.327061260260688e-08,8.309129576281202e-08,-0.058029802980298,-0.156059605960596
-0.098009800980098,-4.49992548112732e-05,3.51804081191176e-05,9.817512253373906e-06,-8.999717518376471e-05,1.4656752036428888e-07,6.33124528460425e-08,8.325506751824639e-08,-0.058009800980098,-0.156019601960196
-0.097989798979898,-4.467963155718735e-05,3.498708169047404e-05,9.724400729105298e-06,-8.939111397676669e-05,1.4594677873328465e-07,6.299749575153754e-08,8.29492829817471e-08,-0.057989798979898,-0.155979597959796
-0.0979697969796979,-4.45890830604867e-05,3.49503353476166e-05,9.671210486006387e-06,-8.921062889410969e-05,1.4597789382647145e-07,6.29641044290802e-08,8.301378939739127e-08,-0.0579697969796979,-0.1559395939593959
-0.0979497949794979,-4.442182240893544e-05,3.48627173565319e-05,9.605241706678314e-06,-8.888978147214566e-05,1.4579633756203568e-07,6.283905693721342e-08,8.295728062482226e-08,-0.0579497949794979,-0.1558995899589959
-0.0979297929792979,-4.424124364277304e-05,3.476363251309067e-05,9.533858442267729e-06,-8.853873459813144e-05,1.455663653644907e-07,6.269328664873132e-08,8.28730787157594e-08,-0.0579297929792979,-0.1558595859585958
-0.0979097909790979,-4.4293655676597155e-05,3.478826343439323e-05,9.492085521811688e-06,-8.857400463280207e-05,1.458541146686369e-07,6.277048116299261e-08,8.308363350564428e-08,-0.0579097909790979,-0.1558195819581958
-0.0978897889788979,-4.406951551061411e-05,3.467953803237833e-05,9.42513512280918e-06,-8.817418866580162e-05,1.4558270741748198e-07,6.26070604672992e-08,8.297564695018278e-08,-0.0578897889788979,-0.1557795779577958
-0.0978697869786978,-4.4012929450332194e-05,3.465267218416557e-05,9.368831364042762e-06,-8.803443299854052e-05,1.4565443928996685e-07,6.259128382424064e-08,8.30631554657262e-08,-0.0578697869786978,-0.1557395739573957
-0.0978497849784978,-4.3979960324236345e-05,3.4642088934333515e-05,9.32354605098773e-06,-8.794559530955759e-05,1.4579462464003398e-07,6.260487100908852e-08,8.318975363094543e-08,-0.0578497849784978,-0.1556995699569957
