slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,slopeH_rounded
-0.154571957,-0.000515494,0.000220257,0.000241732,0.079084303,1023.0365084141208,-0.154572
-0.154563956,-0.00051545,0.000220099,0.000241708,0.079335118,1023.272380791641,-0.154564
-0.154555956,-0.000515211,0.000220008,0.000241598,0.079312593,1023.733048793488,-0.154556
-0.154547955,-0.000515064,0.00021983,0.000241526,0.079521002,1024.149510174714,-0.154548
-0.154539954,-0.000514928,0.000219643,0.000241456,0.079756594,1024.5619634072596,-0.15454
-0.154531953,-0.000514861,0.000219629,0.000241429,0.079728446,1024.676226241904,-0.154532
-0.154523952,-0.000514733,0.000219536,0.000241367,0.079797423,1024.9730258421837,-0.154524
-0.154515952,-0.00051442,0.000219328,0.000241222,0.079930509,1025.6721307075666,-0.154516
-0.154507951,-0.000514339,0.000219301,0.000241184,0.079916594,1025.8251432518648,-0.154508
-0.15449995,-0.000514256,0.000219222,0.000241144,0.079996145,1026.0390674092314,-0.1545
-0.154491949,-0.000514107,0.000218935,0.000241064,0.080404732,1026.5832247055778,-0.154492
-0.154483948,-0.000514028,0.000218949,0.000241031,0.080316728,1026.6859495189535,-0.154484
-0.154475948,-0.000513938,0.000218815,0.00024098,0.080493596,1026.976050313007,-0.154476
-0.154467947,-0.000513674,0.000218581,0.000240856,0.080712294,1027.6324737798193,-0.154468
-0.154459946,-0.000513536,0.00021849,0.000240789,0.080772199,1027.9457011158274,-0.15446
-0.154451945,-0.000513501,0.000218365,0.00024077,0.080972373,1028.133338384482,-0.154452
-0.154443944,-0.000513355,0.000218365,0.000240706,0.080856025,1028.355254489979,-0.154444
-0.154435944,-0.000513114,0.000218185,0.000240587,0.081001386,1028.9287301208406,-0.154436
-0.154427943,-0.000512906,0.000217953,0.000240485,0.081261445,1029.5009370566786,-0.154428
-0.154419942,-0.000512825,0.000217836,0.000240443,0.081414095,1029.755913685136,-0.15442
-0.154411941,-0.000512707,0.000217779,0.00024039,0.081426004,1029.997373,-0.154412
-0.15440394,-0.000512612,0.000217745,0.000240343,0.08141661,1030.184220177393,-0.154404
-0.15439594,-0.0005125,0.000217524,0.000240288,0.081730274,1030.595989,-0.154396
-0.154387939,-0.00051224,0.000217438,0.000240167,0.081685767,1031.092854408122,-0.154388
-0.154379938,-0.000512065,0.000217322,0.000240082,0.081762231,1031.4922853617784,-0.15438
-0.154371937,-0.000511947,0.000217147,0.000240021,0.081991792,1031.8681474375833,-0.154372
-0.154363936,-0.000511811,0.000217137,0.000239965,0.08190041,1032.084327,-0.154364
-0.154355936,-0.000511677,0.000216972,0.000239898,0.082099287,1032.4745337762745,-0.154356
-0.154347935,-0.000511359,0.000216862,0.000239753,0.08205142,1033.0859645136095,-0.154348
